yanıt sayısı,yeniden gönderi sayısı,beğeni sayısı,yer işareti sayısı,görüntülenme sayısı,user_name,nick,date,Tweet,Tweet_Preprocessed,sentiment,score,Ner_results
4,44,260,2,3102,@OlympicEsporte,Olympic Esporte,10d,"TATI WESTON WEBB NA SEMIFINAL OLÍMPICA 

Tati 8.10 x 6.34 Nadia

Surf nos #JogosOlímpicos #Paris2024
#OlympicGames",tati weston webb na semifin olímpica tati 810 x 634 nadia surf nos,neutral,0.8857234716415405,"[{'entity': 'ORG', 'word': 'TATIESTO OLÍMPICA'}, {'entity': 'ORG', 'word': 'Tati'}, {'entity': 'PER', 'word': 'Nadia Sur'}, {'entity': 'MISC', 'word': 'JogosOlímpicos'}, {'entity': 'LOC', 'word': 'Paris'}]"
32,46,251,5,3377,@OliLondonTV,Oli London,10d,"Dear Paris Olympics,

Just in case you need a reminder…",dear pari olymp just in case you need a remind,neutral,0.8032336831092834,[]
37,46,232,1,26268,@ClayTravis,Clay Travis,15d,"After a full day of virtual silence 
@ESPN
 has finally decided to cover a dude beating up a chick at the Olympics, headline says dudes are being unfairly criticized for beating up chicks. Chef’s kiss perfection here.",after a full day of virtual silenc has final decid to cover a dude beat up a chick at the olymp headlin say dude are be unfair critic for beat up chick chef kiss perfect here,negative,0.5206593871116638,"[{'entity': 'ORG', 'word': 'ESPN'}]"
19,36,249,7,53951,@NBCOlympics,NBC Olympics & Paralympics,29d,"Simone Biles made a STATEMENT on beam in the all-around. 

 #ParisOlympics on NBC and Peacock",simon bile made a statement on beam in the allaround on nbc and peacock,neutral,0.9156033992767334,"[{'entity': 'PER', 'word': 'Simone Biles'}, {'entity': 'MISC', 'word': 'ParisOlympics'}, {'entity': 'ORG', 'word': 'NBC'}]"
8,27,182,2,5021,@mymixtapez,My Mixtapez,52d,LeBron James is the first self-made billionaire to compete in the Olympics,lebron jame is the first selfmad billionair to compet in the olymp,neutral,0.5036938190460205,"[{'entity': 'PER', 'word': 'LeBron James'}]"
56,98,702,6,51208,@FoxNews,Fox News,52d,Boebert raising gold-level prize money for female Olympic athlete bested by boxer barred from women's events,boebert rais goldlevel prize money for femal olymp athlet best by boxer bar from women event,neutral,0.6856842041015625,"[{'entity': 'PER', 'word': 'Boebert'}]"
62,130,371,36,31503,@Breaking911,Breaking911,53d,"WOW! Biological male boxer, previously barred from women’s events, wins fight at the Paris Olympics before proceeding to tap his opponent on her breast.",wow biolog male boxer previous bar from women event win fight at the pari olymp befor proceed to tap his oppon on her breast,positive,0.7109646201133728,"[{'entity': 'LOC', 'word': 'Paris'}]"
10,154,363,8,2675,@SaffronSunanda,Sunanda Roy,55d,"""Before if a man hits a woman, he used to land in Jail. Now he is getting a gold medal in Olympics""

~ Valentina Gomez, Republican candidate from Missouri.

I totally agree with her.",befor if a man hit a woman he use to land in jail now he is get a gold medal in olymp valentina gomez republican candid from missouri i total agre with her,negative,0.5584061741828918,"[{'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'PER', 'word': 'Vale'}, {'entity': 'PER', 'word': '##ntina Gomez'}, {'entity': 'MISC', 'word': 'Republican'}]"
70,117,601,34,43879,@megynkelly,Megyn Kelly,56d,"Injustice Against Female Boxer at Olympics, and Trump vs. Black Journalists, with 
@charliekirk11
, 
@SteveDeaceShow
, and 
@DelanoSquires
 

Plus, Kamala Harris and radical transgender ideology, lack of diversity of thought on left, and more. Watch today's FULL show, right here on X:",injustic against femal boxer at olymp and trump vs black journalist with and plus kamala harri and radic transgend ideolog lack of divers of thought on left and more watch today full show right here on x,negative,0.5916897654533386,"[{'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'MISC', 'word': 'Trump vs . Black Journalistsrk'}, {'entity': 'MISC', 'word': 'SteveDeaceShow'}, {'entity': 'ORG', 'word': 'Del'}, {'entity': 'PER', 'word': 'Kamal'}]"
84,39,205,1,10408,@KristiNoem,Kristi Noem,56d,"SOON: I join 
@seanhannity
 to discuss why only girls should compete in girls’ sports — and why mediocre men shouldn’t steal Olympic medals from exceptional women.",soon i join to discuss whi onli girl should compet in girl sport and whi mediocr men shouldnt steal olymp medal from except women,neutral,0.7323037385940552,[]
