,yanıt sayısı,yeniden gönderi sayısı,beğeni sayısı,yer işareti sayısı,görüntülenme sayısı,user_name,nick,date,Tweet
0,4,44,260,2,3102,@OlympicEsporte,Olympic Esporte,10d,"TATI WESTON WEBB NA SEMIFINAL OLÍMPICA 

Tati 8.10 x 6.34 Nadia

Surf nos #JogosOlímpicos #Paris2024
#OlympicGames"
1,32,46,251,5,3377,@OliLondonTV,Oli London,10d,"Dear Paris Olympics,

Just in case you need a reminder…"
2,37,46,232,1,26268,@ClayTravis,Clay Travis,15d,"After a full day of virtual silence 
@ESPN
 has finally decided to cover a dude beating up a chick at the Olympics, headline says dudes are being unfairly criticized for beating up chicks. Chef’s kiss perfection here."
3,19,36,249,7,53951,@NBCOlympics,NBC Olympics & Paralympics,29d,"Simone Biles made a STATEMENT on beam in the all-around. 

 #ParisOlympics on NBC and Peacock"
12,8,27,182,2,5021,@mymixtapez,My Mixtapez,52d,LeBron James is the first self-made billionaire to compete in the Olympics
13,56,98,702,6,51208,@FoxNews,Fox News,52d,Boebert raising gold-level prize money for female Olympic athlete bested by boxer barred from women's events
14,62,130,371,36,31503,@Breaking911,Breaking911,53d,"WOW! Biological male boxer, previously barred from women’s events, wins fight at the Paris Olympics before proceeding to tap his opponent on her breast."
15,10,154,363,8,2675,@SaffronSunanda,Sunanda Roy,55d,"""Before if a man hits a woman, he used to land in Jail. Now he is getting a gold medal in Olympics""

~ Valentina Gomez, Republican candidate from Missouri.

I totally agree with her."
16,70,117,601,34,43879,@megynkelly,Megyn Kelly,56d,"Injustice Against Female Boxer at Olympics, and Trump vs. Black Journalists, with 
@charliekirk11
, 
@SteveDeaceShow
, and 
@DelanoSquires
 

Plus, Kamala Harris and radical transgender ideology, lack of diversity of thought on left, and more. Watch today's FULL show, right here on X:"
17,84,39,205,1,10408,@KristiNoem,Kristi Noem,56d,"SOON: I join 
@seanhannity
 to discuss why only girls should compete in girls’ sports — and why mediocre men shouldn’t steal Olympic medals from exceptional women."
18,321,2344,9393,129,87832,@liz_churchill10,Liz Churchill,59d,Home Depot cancels Olympics.
